00014E71,"麥克邁納斯: 成功了！碉堡淨空！"
B56DBA34,"閃擊行動"
B5725D22,"比查特: 這就對了，她正像母獅一樣怒吼！"
B572D43E,"一次大戰中的工兵兵團是各方軍隊的支柱。他們負責維護通訊與通信設備，以及野戰砲和重型火砲。工兵同時也要進行土地測量與測繪，來判定敵方的陣地位置。他們能建造出堅固的防禦工事，也能輕易摧毀固若金湯的要塞，他們最了解如何處理毒氣、帶刺鐵絲以及高爆炸藥。  戰爭後期他們還要維修與維護機械化部隊。早期的坦克非常脆弱且容易發生故障，如果沒有這些工兵的專業技術，這些機械就會淪為敵人宰割的肥羊。"
B5732781,"唐森: 注意了愛德華。貝絲會清出一條路的。"
B5736C57,"勃魯西洛夫攻勢"
B574F3CA,"大戰中的工兵"
B576CEDB,"唐森: 繼續推進，各位！我們很快就能拿下這裡了！"
B5778360,"升到階級 100 時的獎勵。"
B578B240,"一般人可能會以為摩托車只是方便調度的快速運輸工具，但一次大戰中的摩托車可是上過前線的。它們通常會掛上裝有機槍的各式附邊車，並且加入「摩托機動步兵」單位一同作戰。"
B579D1C3,"申請成為指揮官"
B57AAE44,"敵方指揮官上線"
B57AD1CC,"MC 3.5HP 附邊車摩托車"
B57BCE56,"把主力佈署在這裡。每二十分鐘巡視一次外圍防線，一定要保護好火車。"
B57BCE57,"把主力佈署在這裡。每二十分鐘巡視一次外圍防線，一定要保護好火車。"
B57BCE58,"把主力佈署在這裡。每二十分鐘巡視一次外圍防線，一定要保護好火車。"
B57BCE59,"把主力佈署在這裡。每二十分鐘巡視一次外圍防線，一定要保護好火車。"
B57BCE5A,"把主力佈署在這裡。每二十分鐘巡視一次外圍防線，一定要保護好火車。"
B57BCE5B,"把主力佈署在這裡。每二十分鐘巡視一次外圍防線，一定要保護好火車。"
B57BCE5C,"把主力佈署在這裡。每二十分鐘巡視一次外圍防線，一定要保護好火車。"
B57CED62,"上校正面"
B57F2190,"開啟/關閉雷射瞄準器"
B5801CA0,"QUALITY ENGINEERING LEAD"
B582006C,"布萊克本: 來吧，我們得通力合作，好了……"
B584EB41,"觀察者"
B587788F,"麥克邁納斯: 掩護射擊！快點！"
B58DE6D7,"遵命，長官。"
B58DE6D8,"遵命，長官。"
B58DE6D9,"遵命，長官。"
B58DE6DA,"遵命，長官。"
B58DE6DB,"遵命，長官。"
B58DE6DC,"遵命，長官。"
B58DE6DD,"遵命，長官。"
B59035A0,"用近戰擊殺 1 個火焰噴射兵精英"
B5914462,"小鎮 A"
B5914463,"小鎮 B"
B5914464,"小鎮 C"
B591800A,"機械化的法國軍隊在 1918 年第二場馬恩戰役中發起進攻。"
B593E7F2,"使用LSAT擊殺500人"
B594076D,"唐森: 這台坦克需要修理！"
B594A3CD,"1.00 倍縮放靈敏度"
B594A414,"1.25 倍縮放靈敏度"
B594A472,"1.50 倍縮放靈敏度"
B595302E,"2.00 倍縮放靈敏度"
B59530D3,"2.50 倍縮放靈敏度"
B5959FA2,"救火英雄"
B595BC8F,"3.00 倍縮放靈敏度"
B595BD34,"3.50 倍縮放靈敏度"
B596184A,"推廣狗牌"
B59648F0,"4.00 倍縮放靈敏度"
B596D551,"5.00 倍縮放靈敏度"
B59761B2,"6.00 倍縮放靈敏度"
B5987A74,"8.00 倍縮放靈敏度"
B599289A,"部署攜帶型主動防禦系統"
B59951F4,"LSAT大師狗牌"
B599F93E,"牢不可破"
B59B824C,"Astro狗牌"
B59C2B58,"AUDIO ANALYSTS"
B5A5AD80,"東線前線"
B5A5CB57,"操作防空砲"
B5A6CE95,"瞄準好再射擊！瞄準好再射擊！"
B5A8FEE6,"上/下 移動"
B5A9D743,"DATABASE ARCHITECT"
B5B84358,"預設砲塔靈敏度"
B5B97C5C,"目標完成"
B5BE29B0," 3LATERAL"
B5C0B6BD,"威爾森: 就是這樣，給他們好看！"
B5C30636,"爆頭獎勵"
B5C3ED15,"您需要登入 Xbox Live 以使用 Xbox Live 遊戲功能。"
B5C53131,"使用M26附掛擊殺100人"
B5CCD6C2,"M1903（神射手）"
B5CEA44D,"載具武器縮放"
B5CEAC2B,"使用870MCS擊殺500人"
B5D1198E,"麥克風音量"
B5D4162D,"870MCS大師狗牌"
B5DB8B85,"穩定準心"
B5DD600D,"力量與決心是這個星座最大的武器。但力量越大，情緒也越大，這也是為何他們也是出了名的善妒與固執。"
B5DE4B98,"代表馬紹爾群島的狗牌"
B5E2CA0F,"天蠍座"
B5E3B59A,"馬紹爾群島"
B5E97836,"愛德華: 德國佬需要再練練！"
B5EA525F,"團隊死鬥"
B5EA53D9,"威爾森: 我們後方又來一架！"
B5EB92A5,"扎拉·古夫蘭"
B5EE74A7,"布萊克本: 我的老天爺啊，我決定在我們還沒陷入昏迷前幫你講完。"
B5EF8003,"玩家已離開伺服器。"
B5EFE1E4,"M1907 半自動步槍（原廠）"
B5F20D30,"COO - FPS AND FROSTBITE"
B603EC7C,"反坦克火箭砲"
B604D173,"威爾森: 德軍……在無人區……看到了嗎？"
B6056ACD,"使用.44麥格農擊殺500人"
B60828EE,"循環瞄準距離"
B60A9C50,"兵變進行中"
B60AD4CF,".44麥格農大師狗牌"
B60DCA0B,"無地圖極難模式拿掉了小地圖並減少了抬頭顯示項目。此模式也加入了友軍砲火，並降低士兵生命值及停用生命恢復。"
B6138633,"用阿拉伯的勞倫斯的 SMLE 取得 100 個擊殺數"
B615F10B,"唐森: 打爛那主砲！"
B6230621,"提升能穩定槍枝的時間"
B6278A3E,"對空中載具造成 500 點傷害"
B62A7103,"用載具進行 500 次擊殺"
B62C4783,"PUBLIC RELATIONS PR DIRECTOR"
B62D07B8,"SENIOR DEVELOPMENT DIRECTORS"
B62DA490,"資料中心"
B62DA491,"發電廠"
B62DA492,"島嶼"
B62DA493,"研究所"
B62DA494,"宿舍"
B62DC257,"發電廠"
B62DC258,"島嶼"
B62DC259,"研究所"
B62DE0FE,"麥克邁納斯: 誰快把那台坦克給拆了。"
B62DE0FF,"麥克邁納斯: 德國佬已經準備好應付坦克了。"
B62E18A0,"以醫護兵身分遊玩 30 分鐘"
B630F19F,"用 SMLE MKIII（卡賓槍）進行 50 次擊殺"
B6312168,"愛德華: 有了！"
B6358927,"噴火兵"
B63960C6,"武器附掛"
B639B2C3," SINGLEPLAYER LEAD LEVEL DESIGNER"
B63CCFE4,"手斧"
B63E2955,"唐森: 向前方的風車前進！"
B63E2956,"唐森: 德軍火力在風車那邊！帶我們到那裡去。"
B63E2957,"唐森: 我們可以幫助我們的兄弟到達風車！"
B645D188,"勞倫斯: 戰鼓已經擂起，掀起一場兵凶戰危之秋……"
B6471EAF,"上 加速"
B64871EE,"顯示或隱藏遊戲內圖示。"
B64D9DAD,"DESIGN DIRECTOR"
B65445A0,"前往駕駛艙"
B654DCC3,"變更難度"
B6584D4A,"反坦克火箭砲勤務之星"
B65B0ABB,"放出信鴿，這是命令，小子，聽到沒有？"
B6601A36,"嗯，不算是啦。"
B6601A3A,"嗯，不算是啦。"
B67113D8," OPERATIONS MANAGEMENT"
B6721504,"微調士兵武器配備 6.00 倍放大瞄準鏡時縮放模式下的瞄準靈敏度。套用時會再乘上基本選項中士兵縮放靈敏度。"
B67232B8,"我不怎麼介意啦。我小時候一直都有耳道感染的問題，所以我的耳朵早就完了。"
B6725167,"代表迦納的狗牌"
B6729B72,"進入阿爾貢森林"
B672FB73,"麥克邁納斯: 算上這一個，芬奇！"
B677BB69,"迦納"
B6806F46,"威爾森: 需要修復飛機！後面這裡的震動十分劇烈！"
B6811FF1,"好準頭！"
B683AD1D,"愛德華: 我的老天爺啊！"
B6844B38,"是喔。滾遠點好嗎。"
B6844B3C,"是喔。滾遠點好嗎。"
B68489EC,"唐森: 那座機槍會撕裂我方步兵的。除掉它！"
B6851E59,"生產線"
B6851E5A,"坦克車"
B6851E5B,"製造廠"
B685D184,"用羅斯 MKIII（神射手）取得 100 個擊殺數"
B68718F4,"代表南喬治亞及南三明治群島的狗牌"
B68BEB2B,"SENIOR PRODUCER"
B68C82F6,"南喬治亞及南三明治群島"
B6925473,"比查特: 快點！"
B695A4E2,"夏洛騰堡戰壕"
B69663BA,"好吧。很高興跟你聊天。我晚點會過來。"
B697EBD4,"需要彈藥；需要彈藥"
B697FE5B,"馬爾梅松之役"
B69AA242,"DICE LEAD DESIGNER COOP"
B69AD197,"Category_Tunguska"
B69BF144,"排名"
B69EAE80,"搜刮殆盡"
B6A12C0E,"需要搭車；需要運載"
B6A19E8F,"請求掃描"
B6A526F3,"這種組態可以在「無排名」和「私人」伺服器上使用。"
B6AA0AF2,"縮放X1"
B6AA0AF3,"縮放 X 2"
B6AB527D," CORPORATE COMMUNICATIONS EU LEAD"
B6ABDDD2,"幫助科維特"
B6ADDE35,"麥克邁納斯: 媽的，愛德華！繼續移動啊！"
B6AFA2D1,"單人模式專屬狗牌"
B6B1E5AA,"目前的小隊經驗值加乘已失效。"
B6B50CD3,"越獄風雲銅狗牌"
B6B64D4B,"廢鐵區"
B6B7F440,"繼續往撤離點前進。"
B6B8E19C,"M1907 半自動步槍（掃蕩）"
B6BAEE9D,"M1907 半自動步槍（加長彈匣）"
B6CAF1F7,"扮演美利堅合眾國贏得 1 場遊戲"
B6D03EF4,"遊玩章節"
B6D0DE14,"公路隧道"
B6D27B62,"BUILD MANAGER"
B6D36265,"伊塞克希薩立克戰役"
B6D36266,"費斯蒂貝爾戰役"
B6D36267,"304 號高地戰役"
B6D36268,"維萊布勒托納戰役"
B6D366A6,"磷光"
B6D366A7,"蒙特福孔森林"
B6D36AE7,"大紅一師"
B6D5B574,"高動態範圍"
B6D9FC12,"PERINO MODEL 1908（輕量化）"
B6DA4E8C,"勞倫斯: 可想而知，那列列車永遠無法到達目的地─"
B6DA4E8D,"勞倫斯: ─但我們的敵人可不想那麼輕易地把貴重物品留在沙漠當中。"
B6E13FFD,"唐森: 橋樑上！有德軍！給他們好看！！"
B6E3D1CF,"手榴彈能用來消滅一群密集的敵人，或是躲在掩體後的單一敵人。"
B6E430E6,"移動滑鼠"
B6EF67AA,"HEAD OF DATA PROGRAM MANAGEMENT"
B6F0D82A,"啟用時顯示玩家物品欄，或永久顯示/隱藏。"
B6F4D569,"唐森: 好了，看好前方的路！突進！"
B6F4FCDE,"以入侵者精英兵種身分進行 10 次擊殺"
B6F5163C,"愛德華: 天啊！他們爬上車了！他們爬上車了！"
B6F7AC1C,"步兵"
B6FE0097,"唐森: 真是抱歉喔麥克邁納斯，難道你他媽的還要我唱歌給你聽嗎？"
B6FEC2BE,"SPECIAL THANKS OFF DUTY GAMERS"
B7072D76,"重生信標"
B70D082A," HEAD OF PRODUCT MARKETING IBERIA"
B71016E2,"12g 自動霰彈槍（Back-Bored）"
B716FBF4,"開鎖"
B7176936,"漢志鐵路"
B7184E63,"潛入監獄"
B71E3B41,"執行 25 次救星擊殺"
B725249F,"中將 VI"
B72D056E,"近戰"
B72DDB44,"取得密件包"
B72DDB45,"放出信鴿"
B72F10ED,"這套高級戰鬥包內含全新高級版專屬迷彩！"
B73121E0,"ORIGIN LIVE OPS"
B7356C7D,"小隊治療"
B7365C8E,"攻擊命令（輕碰） 戰術面甲（觸碰）"
B7370E40,"兵變臨界值"
B73CD916,"愛德華: 嗯哼。"
B73CD917,"愛德華: 嗯哼。"
B74EBC92,"勞倫斯: 儘管人數與火力都不如人，我們仍拿到了我們所要的。"
B750EA90,"上尉IV"
B757BF77,"便宜簡便的迫擊砲型武器，能遠遠投擲裝滿毒氣或可燃物質的容器。"
B759488F,"愛德華: 幹得好！"
B75F59DF,"打開/關閉手電筒"
B7605D01,"右 ALT"
B760BA2E,"右 WIN"
B76434B8,"啟用色盲輔助抬頭顯示的顏色"
B7663307,"在同一回合中從馬背上擊殺 3 人"
B76B9D09,"可汗勳帶"
B76FE1B2,"你可以在你隊伍控制的基地進行部署"
B77143F9,"作為出現時間最早且最為成功的輕機槍之一，路易士機槍（Lewis Gun）於 1911 於美國設計完畢，但在一開始卻無法在美國引起轟動。結果其設計者在 1913 年來到海外，比利時軍隊很快便發現了這款槍的優勢，並且發出了訂單，不久之後它也開始在英國生產，並在 1915 年末被英軍採用為制式機槍。  這款槍同時也供應至俄國，並被許多國家所購買或奪得。路易士機槍 最不尋常的標誌性特點，便是其步槍式槍托與手槍握把，加上圓形彈鼓以及槍管上長形的金屬散熱筒，能在發射時將空氣吸入筒中來提升武器的冷卻效率。扁平的彈鼓中沒有用來進彈的彈簧，而是使用槍機作動來驅動進彈。  不尋常的是，路易士機槍還有可調整的發條式複進簧，能調整武器的射速。德軍在 1914 年對上這款機槍時，稱之為「比利時響尾蛇」，到了 1916 年時，各國已經生產了 50,000 把路易士機槍，而這款武器被廣泛用於陸海空三線載具上。  作為機載機槍使用時，通常會卸除其散熱筒，並使用較厚的 97 發彈鼓。在當時，這款槍的生產成本昂貴，並被視為是最優秀且可靠的輕機槍，也在之後的二次大戰與其他戰役中持續綻放光芒。"
B7736385,"路易士機槍"
B7762DB9,"以坦克手身分，進行 25 次多重擊殺"
B77721FB,"法美聯軍在 1918 年在阿爾貢森林對德軍進行的攻勢很快地演變成進攻方的夢魘。掩藏在樹叢與防禦工事中的機槍，加上在暗處靜靜等待獵物的神射手，讓突進的軍隊吃足了苦頭。  而塗上迷彩的野戰砲也在給予陷入苦戰的坦克迎頭痛擊，雙方步兵開始進行血腥的短兵相接。讓森林戰成為近距離戰鬥的修羅戰場。"
B7794187,"一次大戰中的森林戰"
B7797DB1,"威爾森: 射擊。那該死的。飛船。"
B77C8EFA,"狙擊手瞄具景深效果"
B785AA4C,"EA QA PROJECT MANAGEMENT OFFICE"
B791C384,"無法聊天，因為您的 Sony Entertainment Network 帳戶已關閉聊天功能。"
B793D178,"唐森: 她快撐不住了！"
B7942805,"緯度"
B79429A5,"經度"
B794432B,"距離"
B7986BB1,"敵方飛船受到了一些損傷"
B799B6B9,"EA GLOBAL PRODUCT LIFECYCLE MANAGEMENT"
B7A8E090,"FS"
B7AA2DC4,"錯誤資訊"
B7B5445C," LOCALIZATION DIRECTOR"
B7B56264," ROMANIA TEST TEAM"
B7BA8C4F,"MODEL 10-A（掃蕩）"
B7BC36FA,"地質學"
B7C141D4,"用來對付載具與建築物的單發反坦克砲。"
B7C1D3B0,"使用M320 3GL擊殺100人"
B7C20559,"征服防衛"
B7C23FF3,"使用M320低射速榴彈擊殺100人"
B7C25BEC,"使用M320 SHG擊殺100人"
B7C328A5,"您若更改地圖循環的體驗類型，目前循環將會遭到清除。是否要繼續？"
B7C5063E,"已佔領海麗絲俯瞰點"
B7C62B08,"莫辛-納甘 M38 卡賓槍"
B7C67BCB,"莫辛-納甘 M91 步槍"
B7C894F8,"8 號行動"
B7C9E363,"敵方快獲勝了"
B7CCAC01,"取得優異鋼鐵之星勳章時的獎勵。"
B7CF452A,"無小隊"
B7D21603,"優異鋼鐵之星勳章正面"
B7D3125B,"贏得一回合突襲"
B7D3CFB6,"唐森: 再來！幹掉它！"
B7D87C5D,"突襲勳帶"
B7DC76D9,"威爾森: 漂亮！炸彈正中目標！"
B7E55E41,"用萊文斯毒氣發射器進行 1 次擊殺"
B7E68362,"這種獨特狗牌需透過白銀或黃金戰鬥包解鎖"
B7E8C984,"當你臥倒時，在迷你地圖上顯示 30 公尺範圍內的所有敵人（火力壓制可取消此效果）"
B7E91093,"使用PKP佩切涅格擊殺500人"
B7EAC843,"進階彈道學"
B7EB4CD6,"芬奇: 你打中了！"
B7EBED64,"絕對金屬狗牌"
B7EE7A95,"PKP佩切涅格機槍大師狗牌"
B7EE7EA9,"芬奇: 麥克邁納斯又解決一個！"
B7F1EA27,"威爾森: 好吧那你撐住！"
B7F40F14,"SMG 08/18（瞄準鏡）小任務"
B7F4856A,"騎兵衝鋒"
B7F6DA9A," SENIOR REGIONAL CONTENT LEADS"
B7F8D70A,"無法儲存地圖循環。「官方」伺服器使用中的地圖循環無法使用自訂體驗。"
B7FAAFB0,"切換配備二"
B809BB65,"獎勵"
B80D9AB0,"它是要往前，還是往後？挺難看出來的。"
B81787B2,"選擇小隊"
B81AE9B0,"聖柏莎"
B823C672,"達到支援兵兵種階級 20 級時獎勵。"
B823D4CC,"使用M1014擊殺500人"
B825A244,"科德里村莊"
B825A245,"賽勒河"
B825A246,"墜機現場"
B825A247,"勒卡托車站"
B8293074,"支援兵專家 I 背面"
B8293ECE,"M1014大師狗牌"
B83288AE,"所有星座全都到齊，連出通往偉大的道路。"
B8334578,"麥克邁納斯: 你到底在搞什麼？！"
B8337439,"代表馬提尼克的狗牌"
B833ED6D,"壕溝戰配置"
B837F2B0,"星座狂"
B838DE3B,"馬提尼克"
B83AAFF7,"威爾森: 時間正好，我們的弟兄來囉！"
B8435D3D,"你的任務便是突破到康布雷的集結點。"
B84DC847,"威爾森: 小心！敵火來襲！"
B84FB258,"百科條目"
B853091C,"能依需求放置與引爆的集束炸藥。對抗建築、載具與步兵都很有效。"
B853B149,"唐森: 別沖昏頭了。我們得跨過這條河。"
B8543D50,"威爾森:"
B85944D7,"在《以沙皇之名》地圖上得到 500 分"
B85A936E,"使用矮子12口徑霰彈槍擊殺500人"
B85FFD70,"矮子12口徑霰彈槍大師狗牌"
B86104BE,"達達尼爾海峽"
B865130D,"海麗絲岬"
B8681DC5,"比查特: 那些火砲快把我們打死了！"
B8716FA4,"切換玩家檢視模式"
B8786856," SENIOR DATA SCIENTIST"
B87916C2,"以支援兵身分擊殺 20 人"
B87CB2DF,"在空中突襲中贏得 1 場遊戲"
B87F99A4,"完成 10 個武器小任務"
B87FA25B,"愛德華: 重新裝填！快！"
B8855AE8," EA LEGAL BUSINESS AFFAIRS"
B8861A40,"以 K 彈摧毀 1 個載具"
B8865261,"ADDITIONAL DESIGNER"
B88718B9,"PRODUCER AND LEAD SOFTWARE ENGINEER"
B88C7C5E,"ID_RSP_WEAPONS_HANDGUN_DESC"
B88CC505,"普勒斯頓"
B8980712,"快速攻擊船隻勤務之星"
B898148D,"步兵戰車勤務之星"
B89818AB,"噴射機勤務之星"
B898250B,"主戰坦克勤務之星"
B8A0C77B,"麥克邁納斯: 快把那機槍打成碎片！"
B8A19DC6,"Frontiersman placeholder description text.VVVVV"
B8A67291,"愛德華: 當心！手榴彈！"
B8AE87D5,"帝國精英"
B8AF1BBB,"在此部署"
B8B48D87,"阿特托雷斯飛船曾在大戰開始時被法國海軍和英國皇家海軍用做偵察敵方軍隊移動的利器。這艘飛船上的纜車可裝載五名人員與無線電設備。而飛船本身則是西班牙設計師李奧納多‧托雷斯‧奎維多的作品，自 1908 年起便由法國的 Société Astra 專事打造，其雙 200 匹馬力的推進引擎能讓飛船達到每小時 82 公里的高速。在第一海軍大臣邱吉爾的背書之下，這款飛船也成為英軍偵察海岸線的首選。"
B8B6AD13,"C 級飛船"
B8B7F4C2,"火力壓制"
B8BA49B9,"勞倫斯: 熟練的貝都因騎士就算對上裝備精良的現代敵人，也能造成令人喪膽的威脅。"
B8C17CE8,"麥克邁納斯: 那棟民房中有大砲！"
B8C28690,"麥克邁納斯: 看看比查特的保險套是不是還固定在輸油管上！"
B8C6F8A7,"小隊已滿"
B8C77A08,"代表直布羅陀的狗牌"
B8CBD4C0,"羅阿諾克，維吉尼亞 1953 年"
B8CCE40A,"直布羅陀"
B8D260E0,"透過擊殺攻擊者來救援小隊成員"
B8D4613F,"歡呼"
B8DC4195,"代表南蘇丹的狗牌"
B8DD4F04,"擊殺數"
B8E1AB97,"南蘇丹"
B8E32E88,"威爾森: 你打中他了！"
B8F08EBE,"遊戲內 BATTLELOG"
B8F4CFB0,"佩槍"
B8F5E20C,"在選項裡面的影像設定也可以變更這些設定。"
B8FDDA08,"達到分數"
B8FE08DE,"無預定的比賽"
B900AE82,"對鄂圖曼帝國的連戰連勝無疑鼓舞了協約國軍隊，他們在 1915 年 2 月 19 日於達達尼爾海峽發起海軍攻勢，希冀能一舉殺進鄂圖曼帝國的首都君士坦丁堡。然而鄂圖曼軍隊也部下了重重水雷與岸防砲，協約國的船艦損失慘重，因此他們在 4 月 25 日派遣軍隊登陸加里波利，希望能先行為船艦打開一條安全的道路。結果在鄂圖曼軍悍不畏死的防禦之下，原本應該手到擒來的加里波利戰役硬是變成了長達 8 個月的膠著戰，迫使協約國不得不在 1916 年 1 月撤出加里波利半島。  在美索不達米亞方面，英軍原本估計能輕鬆拿下巴格達，但卻在 1915 年 11 月底大敗於泰西封，並且撤退回庫特。鄂圖曼軍隊隨即包圍了庫特並展開攻城，數次突圍未果後，英軍終於在 1916 年 4 月 29 日投降。在加里波利戰役之後，這是大英帝國第二次慘敗於鄂圖曼帝國手上。"
B90227AE,"下懸式發射器"
B9024879,"軸區死角"
B904CB72,"單人模式專屬狗牌"
B905D282,"M.A.S. 魚雷快艇"
B907293D,"麥克邁納斯: 他們？他們是誰？"
B90A3574,"展開旅程銅狗牌"
B90A583E,"摧毀或保護飛船。在雲層中的飛船邊展開大型的空中纏鬥。攻擊敵方飛船的同時也保護好我方飛船。"
B90B0D7B,"唐森: 停住，讓他們逃！"
B90F0C08,"盧卡: 那場爆炸是我所看過最美妙的景色之一。"
B91530E3,"唐森: 他們正在埋伏我們！快點開始行動！"
B91B8DC3,"回到觀眾區"
B91C2EEB,"購買成功！"
B91DA736,"顯示小隊選擇器"
B9258723,"士兵進度"
B929B5F9,"向左偏擺"
B92AF2CA,"唐森: 如果有必要就輾過他們！"
B92E1DF0,"M1909 輕機槍當初是以「貝內特·梅西耶機槍」作為名稱，受到美軍所採用，並在 1916 年墨西哥革命軍龐丘·維拉（Pancho Villa）攻打美國邊境時，以及美軍之後的報復活動中皆有投入使用。1916 年 3 月 9 日，龐丘·維拉帶領了數百位手下攻打新墨西哥州的哥倫布，以及駐紮在該處的美軍。當地守軍部署了數挺貝內特·梅西耶機槍，並對維拉軍造成了可觀的傷害，儘管當中有一挺步槍在架設完畢後旋即卡彈，但其餘每挺機槍都發射了超過 5,000 發子彈。在之後美軍墨西哥遠征的連番鏖戰中，貝內特·梅西耶機槍獲得了不可靠且易損壞的名聲。其中一個問題是從上方裝填的彈匣會造成卡彈，這個問題在晚間操作時特別麻煩，也讓美軍輕蔑地稱呼它為「日光槍」。事後普遍認為當時許多故障與問題都是因為操作人員訓練不足所引發的。  M1909 也在一次大戰中為法軍所採用，其名稱為「mitrailleuse portative modele 1908/13」，裝填制式勒貝爾（Lebel）彈藥。它在 1907 年開發完畢之時，原本是要做為輕步兵或騎兵的支援武器，但當時法國尚對自動武器的使用沒有明確概念，而國家的領導人也無法同意大規模採用之，導致在戰前法軍僅生產並採用了有限的數量。未生產更多機槍的錯誤決策很快就在 1914 年嘗到後果，當時對大量機槍的需求突然升高。當時無法大量製造能符合需求的 M1909，因為這款武器十分精緻，結構不但複雜，生產費用還十分昂貴。最後更為粗製濫造且便宜的紹沙（Chauchat）輕機槍成為了法國的主力輕機槍。然而 M1909 仍持續用於裝甲車、飛船與英軍和法軍的坦克上。保加利亞軍曾將 M1909 裝備至其單車騎兵團中，在 1914 年 8 月為德國騎兵造成了摧枯拉朽的傷害。M1909 也曾被用來當作飛機上的武器，在 1914 年 10 月 5 日，法國空軍 Frantz 與 Quenault 成功使用 M1909 贏得了史上首場空戰的勝利。英國騎兵團在 1916年採用了 .303 口徑的版本，並使用它來進行步兵作戰，總體而言，英軍才算是真正活用了這款武器的一方。M1909 輕機槍在出口上獲得極大成功，對於當初採用它的許多軍方而言，M1909 是他們首次看見的一款輕機槍。"
B92F9A9D,"擊殺數"
B9303D7C,"精英級 M1909 貝內特·梅西耶輕機槍"
B938B096,"摧毀兩種火砲零件"
B93AFE10,"我方放出了信鴿"
B93E728B,"如果混帳中士還沒看到，他應該準備好被嚇得屁滾尿流了。"
B94417C8,"唐森: 那座農舍裡有野戰砲！"
B949E0F7," EA STUDIOS EUROPE"
B94A81A1,"扎拉: 鄂圖曼軍已經警覺到你的到來，這可能會是場惡戰。"
B94C8467,"偵察相機"
B94CFD1C,"379 號高地戰壕陣線"
B94DF34E,"開始新戰役"
B950083F,"彈藥耗盡"
B951A295,"索敵"
B9535599,"坦克乘員"
B953F42F,"重複對應設置"
B95F346F,"布萊克本: 這樣可不妙……"
B9620775,"正牌槍神"
B966583D," ADDITIONAL LEAD WORLD DESIGNER"
B96794F5,"ADDITIONAL SOUND RECORDING"
B96A1029," LOCALIZATION ENGINEERING PROJECT LEADS"
B96C5755,"完成率：{0:d} / {1:d}"
B96CA6CE,"在《以沙皇之名》地圖上急救 5 名盟友"
B96F3A37,"用堡壘火砲進行 10 次擊殺"
B97363E2,"以醫護兵身分造成 8000 點士兵傷害"
B9745E4D,"此步槍配置裝有望遠瞄具與掌靠，可提供絕佳的穩定性。並且可以歸零為 75、150 及 300 公尺。"
B97591B6,"德意志帝國，特別是威廉二世皇帝，一直夢想能建造更大的殖民帝國，並在歐洲建立更大的德意志霸權。德國最大的一個疑慮便是俄羅斯鐵路系統的擴張。1914 年，德國總理馮·貝特曼·霍爾維格表示，在三年內俄羅斯將能快速部署軍隊，屆時德意志在科技上的優勢將無法抵擋俄羅斯的人數優勢。若要贏得戰爭，他們就必須快點行動。德意志帝國最為懼怕的是兩面作戰，所以德國的戰術便是先擊垮法國，接著便能將德軍所有兵力投入攻打俄羅斯帝國。"
B977B142,"德意志帝國"
B978EA61,"威爾森: 喂，在這邊！"
B97A4D40,"中將 VII"
B97D244D,"阿爾比恩"
B9800408,"利用箭頭鍵調整抬頭顯示位置"
B9814368,"聖羅柯教堂"
B98322EB,"調整視角旋轉。"
B987F370,"瑞典等許多國家皆採用的比利時製半自動手槍。"
B9881BCB,"畢夏: 我們必須拿下這座山丘。"
B9881BCC,"畢夏: 我們必須拿下這座山丘。"
B989DD72,"在持續射擊時降低後座力並提升操控性"
B98AAF55,"調整擊中玩家時所顯示的顏色。"
B98BF377,"威爾森: 他媽的這裡可真高！"
B992EE16,"近戰武器"
B993440D,"狙擊手護盾"
B998C277,"網格品質"
B99A730B,"愛德華: 手榴彈！"
B99C4AAB,"威爾森: 把他的頭打下來，布萊克本！"
B99C6CE4,"那裡有人嗎？救我……拜託……"
B99C6CE8,"那裡有人嗎？救我……拜託……"
B9A17BE4,"GLOBAL ONLINE STUDIO"
B9A59B9A,"奇兵棒"
B9A61331,"上尉V"
B9A74E0F,"勞倫斯: 沙漠中的生活嚴酷、殘忍且無情。"
B9A7C640,"伊塞克希薩立克戰役"
B9A7C641,"費斯蒂貝爾戰役"
B9A7C642,"304 號高地戰役"
B9A7C643,"維萊布勒托納戰役"
B9A7CA81,"哥倫布"
B9A7CA82,"波默羅伊"
B9A7CEC2,"夜間慎用"
B9AE8565,"我不想死……"
B9AE8569,"我不想死……"
B9AFD3D0,"DICE QA SP COOP"
B9B418B5,"是否從檢查點繼續章節？"
B9C09DE6,"拜託……我聽得見你們的聲音……"
B9C09DEA,"拜託……我聽得見你們的聲音……"
B9C145F9,"太陽能島"
B9C75FD8,"醫療用針筒"
B9CB565A,"癱瘓 10 台野戰砲"
B9CDADDE,"唐森: 快一點，芬奇，我們需要前進！"
B9CE0EF1,"已攻下區域"
B9D2B667,"我還能走……只是需要人幫一把……呼、呼……兄弟。是你嗎？別鬧、呃、別鬧了……你們為什麼要這樣折磨我……"
B9D2B66B,"我還能走……只是需要人幫一把……呼、呼……兄弟。是你嗎？別鬧、呃、別鬧了……你們為什麼要這樣折磨我……"
B9DCF9E3,"布萊克本: 我知道、我知道。如果這能讓你平復一點，說真的我才是最意外的那個人。"
B9DE5613,"湯姆"
B9E10B73,"察里津，1919 年"
B9E4CEE8,"拜託原諒我……我會當個好人的……拜託。我保證……"
B9E4CEEC,"拜託原諒我……我會當個好人的……拜託。我保證……"
B9E96D11,"HENRY BLACKBURN"
